channel,stage,region,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
delta_j_l,catch_rematch,packet_in_support,1259,0.017644796857203812,0.017644796857203812,0.0,0.017644796857203812,2.580641304630149e-05,2.580641304630149e-05,3.816972058429089e-06,0.8227278717572409
delta_j_l,release_shift_fade,packet_in_support,1293,0.0024832698863213928,0.0024832698863213928,0.0,0.0024832698863213928,1.014991409831645e-05,1.014991409831645e-05,8.110401579250297e-07,0.11578797790114145
delta_j_l,catch_rematch,core_throat,2815,0.0011146392594626661,0.001114639259462666,1.0507666400351747e-19,0.001114639259462666,1.1196309922390924e-05,1.1196309922390924e-05,-1.3552527156068805e-20,0.051972532930600786
delta_j_l,release_shift_fade,core_throat,2978,0.0001537789086886786,0.00015377890868867832,1.3590041920147778e-19,0.00015377890868867848,7.012753689337862e-06,7.012753689337862e-06,-1.0842021724855044e-19,0.007170283415018986
delta_j_l,post_release_buffer,packet_in_support,658,2.627067971668292e-05,2.627067971668292e-05,0.0,2.627067971668292e-05,3.348583237832402e-06,3.348583237832402e-06,8.470946639277388e-08,0.0012249288324392637
delta_j_l,release_shift_fade,support_edge,3512,2.2047522660080676e-05,2.204752266007996e-05,3.5725597538122485e-19,2.204752266008032e-05,6.286431427086968e-06,6.286431427086968e-06,-8.673617379884035e-19,0.0010280147480554356
delta_j_l,post_release_buffer,support_edge,1415,1.0247561290712631e-06,1.024756129071179e-06,4.2029094147726096e-20,1.024756129071221e-06,1.8560560486541658e-06,1.8560560486541658e-06,-3.469446951953614e-18,4.778153219694222e-05
delta_j_l,post_release_buffer,core_throat,1909,4.690093589828276e-07,4.690093589822044e-07,3.1159239397342443e-19,4.6900935898251607e-07,4.135697310083536e-07,4.135697310083536e-07,-1.734723475976807e-18,2.186860380841575e-05
delta_j_l,reset_decompression,packet_in_support,341,3.731631430136741e-07,3.731631430136741e-07,0.0,3.731631430136741e-07,1.965325167139348e-07,1.965325167139348e-07,1.2963134718435576e-08,1.7399560955814565e-05
delta_j_l,reset_decompression,packet_outer,78,1.2471769294151032e-08,1.2471769294151032e-08,0.0,1.2471769294151032e-08,6.302271332060683e-08,6.302271332060683e-08,1.4591086429371902e-09,5.815239637760406e-07
delta_j_l,reset_decompression,core_throat,1354,8.508203375538158e-09,8.508203374695838e-09,4.2116047319656164e-19,8.508203375116999e-09,5.906332292172911e-08,5.906332292172911e-08,-6.938893903907228e-18,3.967138931824216e-07
delta_j_l,reset_decompression,support_edge,761,7.77394510342268e-09,7.77394510342268e-09,0.0,7.77394510342268e-09,4.1042266306010045e-08,4.1042266306010045e-08,0.0,3.624774692424609e-07
delta_j_l,reset_decompression,outer_quarantine_shell,840,6.140006358733318e-14,6.13998565408935e-14,1.03523219845697e-19,6.139996006411332e-14,4.19137467788655e-12,4.19137467788655e-12,-5.204170427930421e-18,2.862914435897401e-12
delta_j_l,catch_rematch,support_edge,3528,7.565393357855048e-15,7.565341240536308e-15,2.6058659369722288e-20,7.565367299195676e-15,5.341848221968319e-15,5.341848221968319e-15,-2.710505431213761e-20,3.5275328056685914e-13
delta_j_l,post_release_buffer,outer_quarantine_shell,1320,2.252216815495054e-18,2.061300147630609e-18,9.54583339322225e-20,2.156758481562832e-18,1.7694179454963432e-16,1.7694179454963432e-16,-6.938893903907228e-18,1.0501461492267681e-16
delta_j_l,catch_rematch,outer_quarantine_shell,2520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_j_l,release_shift_fade,outer_quarantine_shell,2580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_rho,release_shift_fade,packet_in_support,1293,3.10079965518105e-05,-3.10079965518105e-05,3.10079965518105e-05,0.0,2.012739156306495e-07,-1.933502970577483e-09,-2.012739156306495e-07,0.6690192905847291
delta_rho,catch_rematch,packet_in_support,1259,8.911531129395696e-06,-7.5546703365581175e-06,8.233100732976907e-06,6.784303964187903e-07,6.920829168262366e-08,4.826527061699282e-09,-6.920829168262366e-08,0.1922725392545211
delta_rho,post_release_buffer,packet_in_support,658,2.5231233834368444e-06,-2.5221210053004488e-06,2.522622194368647e-06,5.011890681977414e-10,1.7098363540649086e-07,8.803312584113043e-09,-1.7098363540649086e-07,0.05443815801592312
delta_rho,catch_rematch,core_throat,2815,1.90769057364076e-06,-1.9004576892415043e-06,1.9040741314411322e-06,3.6164421996279737e-09,5.966644576332891e-08,1.2930668688571068e-10,-5.966644576332891e-08,0.041159763163021786
