channel,scope,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
rho,packet_live,2552,13.51063364241626,13.51063364241626,0.0,13.51063364241626,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.2706023724662915
rho,packet_core,1818,9.680340265341444,9.680340265341444,0.0,9.680340265341444,0.0095284166586798,0.0095284166586798,0.0065822256156705524,0.19388602425414336
rho,packet_edge,734,3.830293377074814,3.830293377074814,0.0,3.830293377074814,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.07671634821214808
rho,packet_edge_strip,734,3.830293377074814,3.830293377074814,0.0,3.830293377074814,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.07671634821214808
j_l,packet_live,2552,0.17126428368187951,0.1709554790649103,0.000154402308484608,0.17110988137339492,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.07849544340817813
j_l,packet_core,1818,0.12417427533878905,0.12417427533878905,0.0,0.12417427533878905,0.003172684169369105,0.003172684169369105,2.779296000999158e-06,0.056912711705334566
j_l,packet_edge,734,0.04709000834309046,0.04678120372612125,0.000154402308484608,0.04693560603460586,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.021582731702843555
j_l,packet_edge_strip,734,0.04709000834309046,0.04678120372612125,0.000154402308484608,0.04693560603460586,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.021582731702843555
delta_rho,packet_live,2552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_rho,packet_core,1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_rho,packet_edge,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_rho,packet_edge_strip,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_j_l,packet_live,2552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_j_l,packet_core,1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_j_l,packet_edge,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_j_l,packet_edge_strip,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
