s,l,energy_residual,force_residual,energy_term_scale,force_term_scale
0.002509765625,-2.09375,3.8675059775878085e-06,-2.1891414981964e-05,0.0005322956366796765,0.03674471701428993
0.002509765625,-2.00625,2.9494747173284637e-06,-3.355659129095936e-06,0.00011471413792728648,0.006724003835727199
0.002509765625,-1.90625,3.5979640084439384e-06,4.6954942935749276e-06,0.00011223023966074522,0.004199877027567774
0.002509765625,-1.80625,1.8089664709391256e-06,5.5898862016359375e-08,8.888099132021171e-05,0.0015073527498807205
0.002509765625,-1.7062500000000003,9.479895276702511e-07,-1.8150341459633494e-07,6.070888234653456e-05,0.0006756311549771172
0.002509765625,-1.6062500000000002,5.068865814417867e-07,-1.6006123248196202e-08,3.703694455443955e-05,0.0003047785016742312
0.002509765625,-1.50625,2.9799548667857835e-07,5.38264800361595e-09,2.4768524080904004e-05,0.00017986253418604726
0.002509765625,-1.40625,1.930473161425511e-07,-1.2760774058754111e-08,1.674737532032622e-05,9.75173649627401e-05
0.002509765625,-1.30625,1.204313980559542e-07,-7.322195108078293e-09,1.0852769091222002e-05,5.1122193308554584e-05
0.002509765625,-1.20625,1.0814482890888151e-07,-5.2475857439259734e-09,7.680549131031666e-06,3.755285337633654e-05
0.002509765625,-1.1062500000000002,1.652119716757974e-08,-7.048870836712837e-10,5.046297815573483e-06,2.1308360562410176e-05
0.002509765625,-1.00625,7.579593913911314e-09,-3.4494816612221282e-09,4.610772856394134e-06,1.049282251097364e-05
0.002509765625,-0.90625,1.1117856671543544e-08,2.8026859712581227e-09,4.227110157622109e-06,4.082606237715116e-06
0.002509765625,-0.80625,4.8668059793301497e-08,-6.815930836998988e-09,5.979367736546828e-06,3.4062273248106267e-06
0.002509765625,-0.7062499999999999,8.393802963577341e-08,-7.475958098841775e-10,6.65999203805937e-06,8.330576145010884e-06
0.002509765625,-0.6062500000000001,2.2688834549604983e-07,1.453405668742836e-07,2.5431559601388158e-05,3.2282113819460754e-05
0.002509765625,-0.50625,1.4254846859861312e-06,4.525862511990882e-06,0.00030925007449314544,0.00045873505985677946
