channel,scope,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
rho,packet_live,2552,13.510633616408636,13.510633616408636,0.0,13.510633616408636,0.009532234818674011,0.009532234818674011,0.006220129595652282,0.2706023721172249
rho,packet_core,1818,9.680340290686383,9.680340290686383,0.0,9.680340290686383,0.009528416659156852,0.009528416659156852,0.006582225615670552,0.19388602488489334
rho,packet_edge,1277,6.696296438921342,6.696296438921342,0.0,6.696296438921342,0.009532234818674011,0.009532234818674011,0.006220129595652282,0.13411907629347078
rho,packet_edge_strip,734,3.830293325722251,3.830293325722251,0.0,3.830293325722251,0.009532234818674011,0.009532234818674011,0.006220129595652282,0.07671634723233149
j_l,packet_live,2552,0.1712962920043189,0.17099027448846318,0.00015300875792785527,0.17114328324639108,0.0037789071914566363,0.0037789071914566363,-9.596473770548027e-06,0.07850894901796825
j_l,packet_core,1818,0.12419111303148914,0.12419111303148914,0.0,0.12419111303148914,0.003172684169368974,0.003172684169368974,2.846554577083403e-06,0.05691958446612541
j_l,packet_edge,1277,0.0837201457911612,0.08341412827530549,0.00015300875792785527,0.08356713703323336,0.0037789071914566363,0.0037789071914566363,-9.596473770548027e-06,0.0383708285847158
j_l,packet_edge_strip,734,0.04710517897282979,0.04679916145697408,0.00015300875792785527,0.046952170214901945,0.0037789071914566363,0.0037789071914566363,-9.596473770548027e-06,0.02158936455184285
delta_rho,packet_live,2552,3.996101090280625e-05,-3.858867451154964e-05,3.927484270717794e-05,6.861681956283045e-07,2.0127391563238423e-07,4.869073786523126e-09,-2.0127391563238423e-07,0.861310087003174
delta_rho,packet_core,1818,2.7808844246670384e-05,-2.662972574430973e-05,2.7219284995490062e-05,5.895592511803279e-07,2.0125961071922743e-07,4.521127102904976e-09,-2.0125961071922743e-07,0.5993851886233278
delta_rho,packet_edge,1277,2.0527068687955e-05,-1.991695665350794e-05,2.0222012670731466e-05,3.050560172235311e-07,2.0127391563238423e-07,4.869073786523126e-09,-2.0127391563238423e-07,0.4424355369924104
delta_rho,packet_edge_strip,734,1.2152166656135859e-05,-1.1958948767239906e-05,1.2055557711687883e-05,9.660894444797652e-08,2.0127391563238423e-07,4.869073786523126e-09,-2.0127391563238423e-07,0.26192489837984606
delta_j_l,packet_live,2552,0.020162862167078126,0.020162862167078126,0.0,0.020162862167078126,2.580641304625458e-05,2.580641304625458e-05,8.110401575412221e-07,0.9385685471608776
delta_j_l,packet_core,1818,0.015321705851892688,0.015321705851892688,0.0,0.015321705851892688,2.580641304625458e-05,2.580641304625458e-05,1.16470128467671e-06,0.7132157668030701
delta_j_l,packet_edge,1277,0.009326057829199432,0.009326057829199432,0.0,0.009326057829199432,2.517915405837148e-05,2.517915405837148e-05,8.110401575412221e-07,0.4341221238809117
delta_j_l,packet_edge_strip,734,0.0048411563151854395,0.0048411563151854395,0.0,0.0048411563151854395,2.367414746343892e-05,2.367414746343892e-05,8.110401575412221e-07,0.2253527803578076
