channel,stage,region,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
delta_j_l,catch_rematch,packet_in_support,1259,0.01764479685720391,0.01764479685720391,0.0,0.01764479685720391,2.580641304625458e-05,2.580641304625458e-05,3.816972058453863e-06,0.8227278717494599
delta_j_l,release_shift_fade,packet_in_support,1293,0.002483269886322039,0.002483269886322039,0.0,0.002483269886322039,1.0149914098307017e-05,1.0149914098307017e-05,8.110401575412221e-07,0.11578797790007586
delta_j_l,catch_rematch,core_throat,2815,0.001114639259468328,0.0011146392594627067,2.81068901012885e-15,0.0011146392594655172,1.119630992238194e-05,1.119630992238194e-05,-5.0732191342849065e-17,0.05197253293037297
delta_j_l,release_shift_fade,core_throat,2978,0.00015377890870252935,0.00015377890868813063,7.199362417602458e-15,0.00015377890869533,7.0127536892848445e-06,7.0127536892848445e-06,-2.949029909160572e-16,0.007170283415596956
delta_j_l,post_release_buffer,packet_in_support,658,2.6270679717358754e-05,2.6270679717358754e-05,0.0,2.6270679717358754e-05,3.3485832380097773e-06,3.3485832380097773e-06,8.47094663650183e-08,0.0012249288324591844
delta_j_l,release_shift_fade,support_edge,3512,2.204752268628569e-05,2.204752265999598e-05,1.3144856665506591e-14,2.2047522673140836e-05,6.286431426992208e-06,6.286431426992208e-06,-3.994200803436598e-15,0.0010280147492675743
delta_j_l,post_release_buffer,support_edge,1415,1.0247561373096794e-06,1.0247561285360416e-06,4.386818889424418e-15,1.0247561329228606e-06,1.8560560482872718e-06,1.8560560482872718e-06,-3.800779135865184e-15,4.778153258062453e-05
delta_j_l,post_release_buffer,core_throat,1909,4.6900936903251334e-07,4.690093588188937e-07,5.106809842240693e-15,4.690093639257035e-07,4.135697311922343e-07,4.135697311922343e-07,-1.2377252001094519e-15,2.186860427679774e-05
delta_j_l,reset_decompression,packet_in_support,341,3.731631433661088e-07,3.731631433661088e-07,0.0,3.731631433661088e-07,1.965325164936249e-07,1.965325164936249e-07,1.2963135082727506e-08,1.7399560972082965e-05
delta_j_l,reset_decompression,packet_outer,78,1.2471769253378149e-08,1.2471769253378149e-08,0.0,1.2471769253378149e-08,6.302271304652052e-08,6.302271304652052e-08,1.4591008297426544e-09,5.815239618694113e-07
delta_j_l,reset_decompression,core_throat,1354,8.50821223283428e-09,8.508203616487094e-09,4.3081735931355794e-15,8.508207924660687e-09,5.906332215151189e-08,5.906332215151189e-08,-9.773432063653331e-15,3.9671430616978586e-07
delta_j_l,reset_decompression,support_edge,761,7.773949891433082e-09,7.773944556686083e-09,2.667373498939999e-15,7.77394722405958e-09,4.104226618284468e-08,4.104226618284468e-08,-1.3253287356462806e-14,3.6247769249065786e-07
delta_j_l,reset_decompression,outer_quarantine_shell,840,7.155770041038894e-14,6.140765640264216e-14,5.075022003873396e-15,6.648267840651554e-14,4.19140937235607e-12,4.19140937235607e-12,-4.2839429920116245e-14,3.33653682965971e-12
delta_j_l,catch_rematch,support_edge,3528,3.7539290825866874e-14,7.564111916311209e-15,1.4987589454777835e-14,2.2551701371089048e-14,5.304849505194896e-15,5.304849505194896e-15,-3.0430573425693774e-15,1.7503528716194935e-12
delta_j_l,catch_rematch,outer_quarantine_shell,2520,3.4402128915770304e-14,-2.857462063995262e-17,1.7215351768205124e-14,1.7186777147565176e-14,1.9434594992345788e-14,1.9434594992345788e-14,-1.9434567887291476e-14,1.6040757247350592e-12
delta_j_l,release_shift_fade,outer_quarantine_shell,2580,3.374533915281421e-14,7.388443185048793e-18,1.686897535481458e-14,1.687636379799963e-14,1.818207043258191e-14,1.818207043258191e-14,-1.818207043258191e-14,1.5734514422206882e-12
delta_j_l,post_release_buffer,outer_quarantine_shell,1320,1.5291545134209616e-14,1.845771627233094e-17,7.636543708968642e-15,7.655001425240974e-15,2.896142527186729e-14,2.896142527186729e-14,-2.896142527186729e-14,7.130022796999606e-13
delta_rho,release_shift_fade,packet_in_support,1293,3.100799655181582e-05,-3.100799655181582e-05,3.100799655181582e-05,0.0,2.0127391563238423e-07,-1.933502970577483e-09,-2.0127391563238423e-07,0.6690192905451063
delta_rho,catch_rematch,packet_in_support,1259,8.911531129361503e-06,-7.554670336531833e-06,8.23310073294667e-06,6.784303964148355e-07,6.920829168262366e-08,4.826527061699282e-09,-6.920829168262366e-08,0.19227253924236296
delta_rho,post_release_buffer,packet_in_support,658,2.523123383431916e-06,-2.5221210052951328e-06,2.5226221943635246e-06,5.011890683916521e-10,1.7098363540649086e-07,8.803312598858193e-09,-1.7098363540649086e-07,0.054438158012583324
