s,l,energy_residual,force_residual,energy_term_scale,force_term_scale
0.0100390625,-2.075,-0.0004163603958432747,7.161034404167568e-05,0.13305802060177513,0.016441400971881855
0.0100390625,-2.0250000000000004,-0.0003506109657054928,-4.519059513297991e-05,0.0856020546950275,0.011097509343530538
0.0100390625,-1.9250000000000003,-0.0001754267179219623,1.9855844838252378e-05,0.031993310890685044,0.00478501745825156
0.0100390625,-1.8250000000000002,-7.14412106489016e-05,-2.054514544511245e-06,0.011053685498209063,0.0022131861393109684
0.0100390625,-1.725,-2.4604223515012475e-05,-3.2895550236914764e-06,0.0037984986322524535,0.0009376674763480798
0.0100390625,-1.625,-7.899463791975316e-06,-1.1670205176270746e-06,0.001380869177156305,0.00037130087596716325
0.0100390625,-1.525,-2.4411800781389096e-06,-6.657829805502676e-07,0.0005486718999679627,0.00017640185339794546
0.0100390625,-1.425,-6.616543650000983e-07,-1.63336808679116e-07,0.00023984851880373174,9.034799112953422e-05
0.0100390625,-1.3250000000000002,-1.1327619197011784e-07,2.4838672994189877e-08,0.00011542695368673977,5.0354927955699294e-05
0.0100390625,-1.225,1.4444286949310705e-07,-6.621249589040133e-08,6.246605395211843e-05,4.222158069994197e-05
0.0100390625,-1.125,-2.1962456602213286e-08,3.937221300917806e-09,3.9261295880467285e-05,2.463701261971279e-05
0.0100390625,-1.025,-8.626315042215034e-08,-6.324491903136055e-08,2.942325949111676e-05,1.0992194318319588e-05
0.0100390625,-0.9249999999999999,-5.141016581702941e-08,-3.7927143147180765e-08,2.6500991136452093e-05,5.360464435344446e-06
0.0100390625,-0.8250000000000001,1.7519214417119474e-08,-3.268288159814825e-08,2.525006313535292e-05,1.650119251451857e-06
0.0100390625,-0.725,2.6761229645458714e-07,-1.440301304942552e-07,3.023060935918108e-05,5.1212487385883615e-06
0.0100390625,-0.625,1.0447471418658023e-06,5.404081705386234e-07,3.489317551365081e-05,2.2646842301294654e-05
0.0100390625,-0.525,8.267204511729723e-07,2.962242720650233e-06,1.1438126871740567e-05,2.587542956362158e-05
0.0903515625,-2.075,-0.00019988013453862546,0.0001025232288142769,0.06841963641785875,0.04550985034653106
0.0903515625,-2.0250000000000004,-0.0001758678618821945,-5.095386294140934e-05,0.044234495031617596,0.030949457790518598
0.0903515625,-1.9250000000000003,-9.302895230340999e-05,2.2383842313138864e-06,0.01665592610488591,0.012886801597960311
0.0903515625,-1.8250000000000002,-3.7044252978503624e-05,-1.5025368475284828e-05,0.005705418697230664,0.005154526219282506
0.0903515625,-1.725,-1.2178456310871734e-05,-9.31155913554542e-06,0.0019208524875957604,0.0019620329649388964
