manifest,kind,file,passed
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b1_n256_balance.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b1_n256_source.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b1_n256_states.npz,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b1_n256_summary.json,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b2_n256_balance.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b2_n256_source.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b2_n256_states.npz,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b2_n256_summary.json,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b4_n256_balance.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b4_n256_source.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b4_n256_states.npz,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b4_n256_summary.json,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b8_n256_balance.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b8_n256_source.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b8_n256_states.npz,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,output,paired_b8_n256_summary.json,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,toolkit/adm_harness_cli/scripts/run_branched_poynting_delivery.py,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,toolkit/adm_harness_cli/scripts/run_poynting_delivery.py,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,toolkit/adm_harness_cli/adm_harness/poynting_delivery.py,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,toolkit/adm_harness_cli/adm_harness/active_transfer_reservoir.py,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,toolkit/adm_harness_cli/adm_harness/pressure_linked_storage.py,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,toolkit/adm_harness_cli/adm_harness/graded_electrothermal.py,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,toolkit/adm_harness_cli/adm_harness/regenerative_converter.py,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,supporting_reports/data/pressure_linked_storage/retained_coefficients/powered_finite_joint_states.npz,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,supporting_reports/data/pressure_linked_storage/retained_coefficients/powered_finite_joint_points.csv,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,supporting_reports/data/regenerative_converter/refined_eta098_recovery100_voltage050_states.npz,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,supporting_reports/data/active_transfer_reservoir/metric_fine.npz,True
supporting_reports/data/poynting_delivery/branched_guides/manifest.json,input,supporting_reports/data/active_transfer_reservoir/medium_baseline.npz,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,finite_n1024_states.npz,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,finite_n512_states.npz,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,n1024_forward_balance.csv,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,n1024_return_balance.csv,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,n1024_summary.json,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,n512_forward_balance.csv,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,n512_return_balance.csv,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,output,n512_summary.json,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/scripts/evaluate_finite_delivery_taps.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/scripts/run_poynting_delivery.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/adm_harness/poynting_delivery.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/adm_harness/shared_field_delivery.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/adm_harness/active_transfer_reservoir.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/adm_harness/pressure_linked_storage.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/adm_harness/graded_electrothermal.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,toolkit/adm_harness_cli/adm_harness/regenerative_converter.py,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,supporting_reports/data/pressure_linked_storage/retained_coefficients/powered_finite_joint_states.npz,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,supporting_reports/data/pressure_linked_storage/retained_coefficients/powered_finite_joint_points.csv,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,supporting_reports/data/active_transfer_reservoir/metric_fine.npz,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,supporting_reports/data/active_transfer_reservoir/medium_baseline.npz,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,supporting_reports/data/poynting_delivery/spatial_refinement/right_n512_t1_states.npz,True
supporting_reports/data/poynting_delivery/finite_taps/manifest.json,input,supporting_reports/data/poynting_delivery/spatial_refinement/right_n1024_t1_states.npz,True
supporting_reports/data/poynting_delivery/maxwell_current/manifest.json,output,n1024_summary.json,True
supporting_reports/data/poynting_delivery/maxwell_current/manifest.json,output,n512_summary.json,True
supporting_reports/data/poynting_delivery/maxwell_current/manifest.json,input,toolkit/adm_harness_cli/scripts/audit_delivery_maxwell_current.py,True
supporting_reports/data/poynting_delivery/maxwell_current/manifest.json,input,toolkit/adm_harness_cli/scripts/run_poynting_delivery.py,True
