key	first_author	year	arxiv_id_version	doi	short_title	status	cited_in
Abdolrahimi2019	Abdolrahimi	2019	1607.05280v4	10.1103/PhysRevD.100.124038	Ingoing Eddington-Finkelstein metric of an evaporating BH	verified-abstract	foundations
Abellan2023a	Abellán	2023		10.1140/epjc/s10052-022-11091-5	Alcubierre warp drive in spherical coordinates with matter	verified-abstract	design_strategy
Abellan2023b	Abellán	2023	2302.13826v3	10.1007/s10714-023-03105-8	Influence of anisotropic matter on the Alcubierre metric	verified-fulltext	design_strategy
Abellan2023c	Abellán	2023	2305.03736v1		Warp drive solutions in spherical coordinates with anisotropic matter	verified-abstract	design_strategy
Abellan2024	Abellán	2024		10.1088/1361-6382/ad3ed9	Spherical warp bubble with non-trivial lapse	verified-abstract	design_strategy
Abellan2026	Abellán	2026	2512.16109v1	10.1016/j.aop.2025.170300	Sources inspired by ideal EM fields in spherical PG coordinates	verified-abstract	design_strategy
AbuShawareb2024	Abu-Shawareb	2024		10.1103/PhysRevLett.132.065102	Target gain larger than unity in an inertial fusion experiment	verified-abstract	engineering_methods
Adams2006	Adams	2006	hep-th/0602178v2	10.1088/1126-6708/2006/10/014	Causality, analyticity and an IR obstruction to UV completion	verified-abstract	foundations
AIAA1998	American Institute of Aeronautics and Astronautics	1998		10.2514/4.472855	AIAA guide for V&V of CFD simulations (G-077)	metadata-only	engineering_methods
Alcubierre1994	Alcubierre	1994	gr-qc/0009013v1	10.1088/0264-9381/11/5/001	The warp drive: hyper-fast travel within GR	verified-fulltext	foundations;design_strategy;synthesis
Alcubierre2004	Alcubierre	2004	gr-qc/0305023v1	10.1088/0264-9381/21/2/019	Towards standard testbeds for numerical relativity	verified-fulltext	engineering_methods
Alcubierre2008	Alcubierre	2008		10.1093/acprof:oso/9780199205677.001.0001	Introduction to 3+1 numerical relativity	metadata-only	foundations
Alcubierre2017	Alcubierre	2017	2103.05610v1	10.1007/978-3-319-55182-1_11	Warp drive basics (chapter)	verified-abstract	foundations
Anderson1995	Anderson	1995		10.1103/PhysRevD.51.4337	Stress-energy of quantized scalars in static spherical spacetimes	verified-abstract	foundations
Arnowitt1962	Arnowitt	1962	gr-qc/0405109v1		The dynamics of general relativity (ADM)	verified-abstract	foundations
ASME2009	ASME	2009			ASME V&V 20-2009	metadata-only	engineering_methods
ASME2018	ASME	2018			ASME V&V 40-2018 (risk-informed credibility)	verified-abstract	engineering_methods
ASME2019	ASME	2019			ASME V&V 10-2019	metadata-only	engineering_methods
Azad2024a	Azad	2024	2301.05243v2	10.1016/j.physletb.2023.138349	Are slowly rotating Ellis-Bronnikov wormholes stable?	verified-fulltext	design_strategy
Azad2024b	Azad	2024		10.1103/PhysRevD.109.124051	Radial perturbations of slowly rotating Ellis-Bronnikov wormholes	unverified	design_strategy
Azad2025	Azad	2025	2509.22118v1	10.3390/universe11100325	Quadrupole perturbations of slowly spinning Ellis-Bronnikov wormholes	verified-abstract	design_strategy
Babiuc2008	Babiuc	2008	0709.3559v3	10.1088/0264-9381/25/12/125012	Implementation of standard testbeds for numerical relativity	verified-fulltext	engineering_methods
Balakrishnan2019	Balakrishnan	2019	1706.09432v2	10.1007/JHEP09(2019)020	A general proof of the QNEC	verified-abstract	foundations
Banerjee2023	Banerjee	2023	2307.13846v2	10.1103/PhysRevD.108.084047	Type III stress-energy in scalar-tensor gravity	verified-abstract	foundations
Barcelo2000	Barceló	2000	gr-qc/0003025v2	10.1088/0264-9381/17/18/318	Scalar fields, energy conditions and traversable wormholes	verified-abstract	design_strategy
Barcelo2002	Barceló	2002	gr-qc/0205066v1	10.1142/S0218271802002888	Twilight for the energy conditions?	verified-abstract	foundations
Barcelo2005	Barceló	2005		10.12942/lrr-2005-12	Analogue gravity (Living Reviews, 1st ed.)	metadata-only	engineering_methods
Barcelo2010	Barceló	2010	1001.4960v1		On the impossibility of superluminal travel: the warp drive lesson	verified-abstract	foundations;design_strategy
Barcelo2011	Barceló	2011		10.12942/lrr-2011-3	Analogue gravity (Living Reviews, 2011 ed.)	metadata-only	engineering_methods
Barcelo2017	Barceló	2017		10.1007/978-3-319-55182-1_12	Probing FTL travel and chronology protection (chapter)	metadata-only	foundations
Barcelo2022	Barceló	2022	2207.06458v1	10.1007/JHEP08(2022)288	Warp drive aerodynamics	verified-fulltext	design_strategy;synthesis
Barcelo2026	Barceló	2026	gr-qc/0505065v4	10.1007/s41114-026-00064-9	Analogue gravity (Living Reviews, 2026 ed.)	verified-fulltext	engineering_methods
Barzegar2025	Barzegar	2025	2407.00720v2	10.3390/universe11090293	Restrictions of current warp drive spacetimes	verified-fulltext	design_strategy;synthesis
Barzegar2026	Barzegar	2026	2602.16495v1		General formalism and demystification of warp-drive spacetimes	verified-fulltext	foundations;design_strategy;P01_vetting;synthesis
Baumgarte2010	Baumgarte	2010		10.1017/CBO9781139193344	Numerical relativity: solving Einstein's equations on the computer	metadata-only	foundations
Baumgarte2021	Baumgarte	2021		10.1017/9781108933445	Numerical relativity: starting from scratch	metadata-only	foundations
Bendsoe1988	Bendsøe	1988		10.1016/0045-7825(88)90086-2	Generating optimal topologies by homogenization	metadata-only	engineering_methods
Bendsoe2003	Bendsøe	2003		10.1007/978-3-662-05086-6	Topology optimization: theory, methods and applications	metadata-only	engineering_methods
Birrell1982	Birrell	1982		10.1017/CBO9780511622632	Quantum fields in curved space	metadata-only	foundations
BlazquezSalcedo2021	Blázquez-Salcedo	2021	2010.07317v2	10.1103/PhysRevLett.126.101102	Traversable wormholes in Einstein-Dirac-Maxwell theory	verified-fulltext	design_strategy
BlazquezSalcedo2022	Blázquez-Salcedo	2022	2108.12187v1	10.1140/epjc/s10052-022-10488-6	EDM wormholes: ansatz, construction and properties	verified-fulltext	design_strategy
Bobrick2021	Bobrick	2021	2102.06824v2	10.1088/1361-6382/abdf6e	Introducing physical warp drives	verified-fulltext	foundations;design_strategy;synthesis
Bolivar2025	Bolívar	2025		10.1016/j.aop.2025.170147	Warp bubble geometries with anisotropic fluids	metadata-only	design_strategy
Bolivar2026	Bolívar	2026	2608.15000v1		Boundary obstructions and lapse freedom in hollow cores	verified-fulltext	design_strategy;P01_vetting;synthesis
Bolokhov2021	Bolokhov	2021	2104.10933v2	10.1134/S0202289321040034	A note on EDM traversable wormholes	verified-fulltext	design_strategy
Borde1987	Borde	1987		10.1088/0264-9381/4/2/015	Geodesic focusing, energy conditions and singularities	unverified	design_strategy
Borde1994	Borde	1994	gr-qc/9406053v1		Topology change in classical general relativity	verified-abstract	foundations
Bousso2016a	Bousso	2016	1506.02669v1	10.1103/PhysRevD.93.064044	Quantum focusing conjecture	verified-abstract	foundations
Bousso2016b	Bousso	2016	1509.02542v2	10.1103/PhysRevD.93.024017	Proof of the quantum null energy condition	verified-abstract	foundations
Box2005	Box	2005			Statistics for experimenters	verified-fulltext	engineering_methods
Bronnikov2007	Bronnikov	2007	gr-qc/0612032v1	10.1134/S0021364007010018	No realistic wormholes from ghost-free phantom dark energy	verified-abstract	design_strategy
Bronnikov2011	Bronnikov	2011	1109.6576v2	10.1140/epjc/s10052-011-1791-2	On the stability of scalar-vacuum space-times	verified-abstract	design_strategy
Bronnikov2012	Bronnikov	2012	1205.2224v3	10.1103/PhysRevD.86.024028	Instabilities of phantom-supported wormholes and regular BHs	verified-abstract	design_strategy
Browning2001	Browning	2001		10.1109/17.946528	Applying the design structure matrix (review)	verified-fulltext	engineering_methods
Buchert2026	Buchert	2026	2605.03653v1	10.3390/universe12050132	Novel realizations of warp drive spacetimes	verified-abstract	design_strategy
Buckingham1914	Buckingham	1914		10.1103/PhysRev.4.345	On physically similar systems	metadata-only	engineering_methods
Cactus2026		2026			Cactus 4.20 users' guide	verified-fulltext	engineering_methods
Cai2007	Cai	2007		10.1038/nphoton.2007.28	Optical cloaking with metamaterials	verified-abstract	engineering_methods
Candelas1980	Candelas	1980		10.1103/PhysRevD.21.2185	Vacuum polarization in Schwarzschild spacetime	metadata-only	foundations
Capper1974	Capper	1974		10.1007/BF02748300	Trace anomalies in dimensional regularization	verified-abstract	foundations
Carneiro2022	Carneiro	2022	2201.05684v2	10.1088/1475-7516/2022/07/030	Total energy conservation of the Alcubierre spacetime	verified-abstract	design_strategy
Cassier2017	Cassier	2017		10.1063/1.4989990	Bounds on Herglotz functions and passive quasistatic cloaking	unverified	engineering_methods
Celik2008	Celik	2008		10.1115/1.2960953	Procedure for estimating and reporting discretization uncertainty	metadata-only	engineering_methods
Celmaster2025	Celmaster	2025	2511.18251v1		WEC violations for Lentz warp drives	verified-abstract	design_strategy
Ceyhan2020	Ceyhan	2020	1812.04683v2	10.1007/s00220-020-03751-y	Recovering the QNEC from the ANEC	verified-abstract	foundations
Chen2010	Chen	2010		10.1038/nmat2743	Transformation optics and metamaterials (review)	metadata-only	engineering_methods
Chen2011	Chen	2011		10.1038/ncomms1176	Macroscopic invisibility cloaking of visible light	verified-abstract	engineering_methods
Chen2013	Chen	2013	1306.5835v1	10.1103/PhysRevLett.111.233001	Broadening the cloaking bandwidth with non-Foster metasurfaces	verified-abstract	engineering_methods
Choptuik1991	Choptuik	1991		10.1103/PhysRevD.44.3124	Consistency of finite-difference solutions of Einstein's equations	verified-abstract	engineering_methods
ChoquetBruhat1969	Choquet-Bruhat	1969		10.1007/BF01645389	Global aspects of the Cauchy problem in GR	metadata-only	foundations
Chowdhury2025	Chowdhury	2025	2404.15948v3	10.1140/epjc/s10052-025-13831-9	Warp drives and Martel-Poisson charts	verified-abstract	design_strategy
Christensen1977	Christensen	1977		10.1103/PhysRevD.15.2088	Trace anomalies and the Hawking effect	verified-abstract	foundations
Clark1999	Clark	1999	gr-qc/9907019v1	10.1088/0264-9381/16/12/313	Null geodesics in the Alcubierre warp drive: view from the bridge	verified-abstract	design_strategy
Clough2024	Clough	2024	2406.02466v2	10.33232/001c.121868	Gravitational waveforms from warp drive collapse	verified-fulltext	foundations;design_strategy
Cooper1990	Cooper	1990		10.1016/0007-6813(90)90040-I	Stage-gate systems	verified-fulltext	engineering_methods;synthesis
Coutant2012	Coutant	2012	1111.4356v2	10.1103/PhysRevD.85.064020	Impossibility of superluminal travel in Lorentz violating theories	verified-abstract	design_strategy
Creminelli2006	Creminelli	2006	hep-th/0606090v2	10.1088/1126-6708/2006/12/080	Starting the universe: stable violation of the NEC	verified-abstract	foundations
Creminelli2010	Creminelli	2010	1007.0027v2	10.1088/1475-7516/2010/11/021	Galilean genesis	verified-abstract	foundations
Creminelli2016	Creminelli	2016	1610.04207v2	10.1088/1475-7516/2016/11/047	Stability of geodesically complete cosmologies	verified-abstract	foundations
Cremona2019	Cremona	2019	1805.02602v3	10.1007/s10714-019-2501-x	Linear instability of the Ellis-Bronnikov-Morris-Thorne wormhole	verified-abstract	design_strategy
Crispino2008	Crispino	2008	0710.5373v1	10.1103/RevModPhys.80.787	The Unruh effect and its applications	verified-abstract	foundations
Cummer2006	Cummer	2006		10.1103/PhysRevE.74.036621	Full-wave simulations of cloaking structures	verified-abstract	engineering_methods
Curiel2017	Curiel	2017	1405.0403v1	10.1007/978-1-4939-3210-8_3	A primer on energy conditions	verified-abstract	foundations
Cuyubamba2018	Cuyubamba	2018	1804.11170v2	10.1103/PhysRevD.98.044040	No stable wormholes in Einstein-dilaton-Gauss-Bonnet theory	verified-fulltext	design_strategy
Czitrom1999	Czitrom	1999		10.1080/00031305.1999.10474445	One-factor-at-a-time versus designed experiments	verified-fulltext	engineering_methods
Danielson2021	Danielson	2021	2108.13361v2	10.1103/PhysRevD.104.124055	BSKR wormholes are not solutions to the EDM equations	verified-fulltext	design_strategy
Davies1975	Davies	1975		10.1088/0305-4470/8/4/022	Scalar production in Schwarzschild and Rindler metrics	metadata-only	foundations
Deffayet2010	Deffayet	2010	1008.0048v2	10.1088/1475-7516/2010/10/026	Imperfect dark energy from kinetic gravity braiding	verified-abstract	foundations
DeNeufville2011	de Neufville	2011		10.7551/mitpress/8292.001.0001	Flexibility in engineering design	unverified	engineering_methods
Deser1993	Deser	1993	hep-th/9302047v1	10.1016/0370-2693(93)90934-A	Geometric classification of conformal anomalies	verified-abstract	foundations
Dowding2016	Dowding	2016			Overview of ASME V&V 20-2009 (slides)	verified-fulltext	engineering_methods
Dubovsky2006	Dubovsky	2006	hep-th/0512260v2	10.1088/1126-6708/2006/03/025	Null energy condition and superluminal propagation	verified-abstract	foundations
Duff1994	Duff	1994	hep-th/9308075v1	10.1088/0264-9381/11/6/004	Twenty years of the Weyl anomaly	verified-abstract	foundations
Dvali2008	Dvali	2008	0710.4344v1	10.1103/PhysRevD.77.045027	Black hole bound on the number of species	verified-abstract	foundations
Dvali2010	Dvali	2010	0706.2050v1	10.1002/prop.201000009	Black holes and large N species solution to the hierarchy problem	verified-abstract	foundations
Earman1995	Earman	1995		10.1093/oso/9780195095913.001.0001	Bangs, crunches, whimpers, and shrieks	metadata-only	foundations
Eiroa2025	Eiroa	2025	2511.15001v1	10.3390/universe11110368	Tides and energy conditions in EGB thin-shell wormholes	verified-fulltext	design_strategy
Eppinger2012	Eppinger	2012		10.7551/mitpress/8896.001.0001	Design structure matrix methods and applications	metadata-only	engineering_methods
Epstein1965	Epstein	1965		10.1007/BF02749799	Nonpositivity of energy density in QFT	verified-abstract	foundations
Everett1996	Everett	1996		10.1103/PhysRevD.53.7365	Warp drive and causality	verified-fulltext	design_strategy
Everett1997	Everett	1997	gr-qc/9702049v1	10.1103/PhysRevD.56.2100	Superluminal subway: the Krasnikov tube	verified-fulltext	foundations;design_strategy;synthesis
Everett2011	Everett	2011		10.7208/chicago/9780226225005.001.0001	Time travel and warp drives (popular)	verified-abstract	foundations
Evseev2018	Evseev	2018	1711.04152v1	10.1103/PhysRevD.97.124040	No static spherically symmetric wormholes in Horndeski theory	verified-fulltext	foundations;design_strategy
Fano1950	Fano	1950		10.1016/0016-0032(50)90006-8	Theoretical limitations on broadband matching	metadata-only	engineering_methods;synthesis
Faulkner2016	Faulkner	2016	1605.08072v1	10.1007/JHEP09(2016)038	Modular Hamiltonians for deformed half-spaces and ANEC	verified-fulltext	foundations;design_strategy;P01_vetting
Fell2021	Fell	2021	2104.06488v4	10.1088/1361-6382/ac0e47	Positive energy warp drive from hidden geometric structures	verified-abstract	foundations;design_strategy
Fewster1998	Fewster	1998	gr-qc/9805024v2	10.1103/PhysRevD.58.084010	Bounds on negative energy densities in flat spacetime	verified-abstract	foundations;design_strategy
Fewster2000a	Fewster	2000	gr-qc/9908073v2	10.1103/PhysRevD.61.084012	Quantum inequalities and quantum interest as eigenvalue problems	verified-abstract	foundations
Fewster2000b	Fewster	2000	gr-qc/9910060v2	10.1088/0264-9381/17/9/302	A general worldline quantum inequality	verified-abstract	foundations;design_strategy
Fewster2003	Fewster	2003	gr-qc/0209036v2	10.1103/PhysRevD.67.044003	Null energy conditions in QFT	verified-fulltext	foundations;design_strategy
Fewster2005a	Fewster	2005	math-ph/0412028v2	10.1142/S0129055X05002406	QEIs in 2D conformal field theory	verified-abstract	foundations;design_strategy
Fewster2005b	Fewster	2005	gr-qc/0507013v1	10.1103/PhysRevD.72.044023	Wormholes with arbitrarily small quantities of exotic matter	verified-fulltext	design_strategy
Fewster2007	Fewster	2007	gr-qc/0609007v3	10.1103/PhysRevD.75.025007	ANEC in spacetimes with boundaries	verified-abstract	foundations;design_strategy
Fewster2008	Fewster	2008	gr-qc/0702056v3	10.1007/s00023-008-0361-0	Absolute QEIs in curved spacetime	verified-abstract	foundations
Fewster2012	Fewster	2012	1208.5399v1		Lectures on quantum energy inequalities	verified-abstract	foundations
Fewster2017	Fewster	2017		10.1007/978-3-319-55182-1_10	Quantum energy inequalities (chapter)	metadata-only	foundations
Finazzi2009	Finazzi	2009	0904.0141v2	10.1103/PhysRevD.79.124017	Semiclassical instability of dynamical warp drives	verified-fulltext	foundations;design_strategy;synthesis
Fisher1935	Fisher	1935			The design of experiments	verified-fulltext	engineering_methods
Flanagan1996	Flanagan	1996	gr-qc/9602052v2	10.1103/PhysRevD.54.6233	Does back reaction enforce ANEC?	verified-abstract	foundations;design_strategy
Flanagan1997	Flanagan	1997	gr-qc/9706006v2	10.1103/PhysRevD.56.4922	Quantum inequalities in 2D Minkowski spacetime	verified-abstract	foundations
Fliss2022	Fliss	2022	2108.06068v1	10.21468/SciPostPhys.12.3.084	Semi-local bounds on null energy in QFT	verified-abstract	foundations;design_strategy
Fliss2023	Fliss	2023	2111.05772v1	10.21468/SciPostPhys.14.2.024	The double smeared null energy condition	verified-abstract	foundations;design_strategy
Fliss2024	Fliss	2024	2309.10848v1	10.21468/SciPostPhys.16.5.119	Non-minimal coupling, negative null energy, EFT	verified-abstract	foundations
Fliss2025a	Fliss	2025	2412.10618v1	10.21468/SciPostPhys.19.4.087	How negative can null energy be in large N CFTs?	verified-abstract	foundations
Fliss2025b	Fliss	2025	2510.26247v2		Curious QNEIs from QNEC	verified-abstract	foundations;design_strategy
Fliss2026	Fliss	2026	2605.18964v1		Modave lectures on energy conditions	verified-abstract	foundations
Ford1978	Ford	1978		10.1098/rspa.1978.0197	Quantum coherence effects and the second law	metadata-only	foundations
Ford1995	Ford	1995	gr-qc/9410043v1	10.1103/PhysRevD.51.4277	Averaged energy conditions and quantum inequalities	verified-fulltext	foundations;design_strategy
Ford1996a	Ford	1996	gr-qc/9506052v2	10.1103/PhysRevD.53.1988	Averaged energy conditions and evaporating black holes	verified-abstract	foundations
Ford1996b	Ford	1996	gr-qc/9510071v1	10.1103/PhysRevD.53.5496	QFT constrains traversable wormhole geometries	verified-fulltext	foundations;design_strategy
Ford1997	Ford	1997	gr-qc/9607003v2	10.1103/PhysRevD.55.2082	Restrictions on negative energy density in flat spacetime	verified-fulltext	foundations;design_strategy
Ford1999	Ford	1999	gr-qc/9901074v1	10.1103/PhysRevD.60.104018	The quantum interest conjecture	verified-abstract	foundations
Ford2002	Ford	2002	gr-qc/0208045v2	10.1103/PhysRevD.66.124012	Spatially averaged QIs do not exist in 4D	verified-abstract	foundations
FouresBruhat1952	Fourès-Bruhat	1952		10.1007/BF02392131	Existence theorem for nonlinear hyperbolic systems	metadata-only	foundations
Franciolini2019	Franciolini	2019	1811.05481v2	10.1007/JHEP01(2019)221	Stable wormholes in scalar-tensor theories	verified-fulltext	foundations;design_strategy
Freivogel2018	Freivogel	2018	1807.03808v4	10.1007/JHEP12(2018)067	The smeared null energy condition	verified-fulltext	foundations;design_strategy
Freivogel2022	Freivogel	2022	2012.11569v2	10.21468/SciPostPhys.13.1.001	The return of the singularities (SNEC applications)	verified-fulltext	foundations;design_strategy
Friedman1993	Friedman	1993	gr-qc/9305017v2	10.1103/PhysRevLett.71.1486	Topological censorship	verified-fulltext	foundations;design_strategy;synthesis
Friedman2006	Friedman	2006	0801.0735v2	10.1002/andp.200510173	Topological censorship and chronology protection	verified-abstract	foundations
Fu2019a	Fu	2019	1807.07917v3	10.1088/1361-6382/aafcea	A perturbative perspective on self-supporting wormholes	verified-fulltext	design_strategy
Fu2019b	Fu	2019	1908.03273v2	10.1088/1361-6382/ab56e4	Traversable asymptotically flat wormholes with short transit times	verified-fulltext	design_strategy
Fuchs2024	Fuchs	2024	2405.02709v1	10.1088/1361-6382/ad26aa	Constant velocity physical warp drive solution	verified-fulltext	foundations;design_strategy;synthesis
Fulling1973	Fulling	1973		10.1103/PhysRevD.7.2850	Nonuniqueness of canonical field quantization	metadata-only	foundations
Galloway1999	Galloway	1999	gr-qc/9902061v2	10.1103/PhysRevD.60.104039	Topological censorship and higher genus black holes	verified-abstract	foundations
Gao2000	Gao	2000	gr-qc/0007021v2	10.1088/0264-9381/17/24/305	Theorems on gravitational time delay	verified-fulltext	foundations;design_strategy;synthesis
